Timestamp,Accepted,Confirmed,Occupational status (check the most relevant in the context of the workshop),What organization(s) do you work for?,What department(s) do you work in?,"In three sentences or less, please describe your current field of work or research question.",How do you intend to make use of what you will learn in the workshop? What do you hope the workshop will help you with?,What operating system will you use on the laptop you bring to the workshop?,Waiver 1,Waiver 2,SWD?,What best describes how you currently manage your data/projects? (Check all that apply.),What best describes how you currently analyze your data? (Check all that apply.),What best describes how frequently you currently program?,What best describes the complexity of your programming? (Check all that apply.),"How familiar are you with Bash? (a.k.a. Unix, Command line, Shell) Please select the answer that best applies to you:","How would you solve this task: A directory contains 1000 text files. Create a list of all files that contain the word ""Drosophila"" and save the result to a file called results.txt.",How familiar are you with version control? Please select the answer that best applies to you:,"How would you solve this task: Given the URL for a project's version control repository, check out a working copy of that project, add a file called notes.txt, and commit the change.",How familiar are you with Python/Jupyter Notebook? Please select the answer that best applies to you:,How would you solve this task: A tab-delimited file has two columns showing for the last four decades the date for each day and the highest temperature on that day. Design a program to produce a graph for these data showing the average highest temperature for each month.,Please check which of the following you would be interested in a future workshop. (Your response will have no bearing on your chance to be accepted to the workshop.)
2/6/19 16:24,,,Graduate Student,THE UNIVERSITY OF ARIZONA,School of Geography and Development,"My dissertation research is at the intersection of social sciences, global change ecology, and computation sciences. I am interested in the ways in which ecosystem carbon exchange is monitored and governed using data from remote satellite and terrestrial sensors. Likewise, I am interested in the financial aspects of climate change, specifically how ecosystem carbon exchange is quantified and monetized/financialized.","I am a self taught programmer, so a more structured workshop setting would provide some useful guidance to stream-line my code.","Chromebook running Linux and CyVerse VICE, but I can bring a Linux laptop instead.",I agree,I agree,Yes,"My data reside on a remotely accessible server/drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data using Matlab, R and/or Python.",I program once a week or more,"I write programs that are a page or two long for my own use., I have experience programming in Python",I am familiar with the command line because I am using it.,I could complete the task with documentation or search engine help.,I am familiar with version control but have never used it.,I could complete the task with documentation or search help.,I am familiar with Jupyter Notebook because I have used or am using it.,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/7/19 13:51,,,Graduate Student,College of Optical Sciences,College of Optical Sciences,"I am a Ph.D. student currently researching improvements to laser guide stars for adaptive optics systems that image through the Earth's atmosphere. More generally, I am researching with respect to space applied research in optical sciences and engineering.","I hope to learn how to use what I am currently not familiar with (Unix, GitHub, Python, as stated in the flyer) to automate tasks and collaborate/share code with others. I would like to expand my knowledge of computer languages and the uses of them to aid me in my research goals, for I plan to be working in applied research.",Mac,I agree,I agree,No,"My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using Matlab, R and/or Python.",I program once a week or more,"I write programs that are many pages long for my own use and for others to use., I have experience programming in Matlab",I am not familiar with the command line.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am familiar with version control but have never used it.,I could complete the task with documentation or search help.,I am familiar with the only term(s).,"I would import into Matlab and create the graph in Matlab, with little to no documentation or search engine help. I did this before in a remote sensing class.","Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.)"
2/5/19 18:04,,,Graduate Student,"UofA, NSF",Civil Eng,we are developing computational tools for Reliability Estimation of Dynamic Nonlinear Complex Systems in Time Domain. This method is an alternative to Monte Carlo Simulation.,It would make my work more efficient and also I will educate my colleagues.,Mac,I agree,I agree,Yes,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive., My data reside on a remotely accessible server/drive.","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using tools such as calculator, ruler, drawing utensils, etc, I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program once a week or more,"I write programs that are many pages long for my own use and for others to use., I have experience programming in Python, I have experience programming in R, I have experience programming in Matlab",I am familiar with the command line because I have used it.,I would create this list using basic command line functions.,I am not familiar with version control.,I could complete the task with documentation or search help.,"I am familiar with the only term(s)., I am familiar with Python because I have used or am using it.",I could complete the task with documentation or search engine help.,"Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/6/19 16:49,,,Graduate Student,University of Arizona,Agriculture and Resource Economics,Corn crush hedging,Job interviews,Windows,I agree,I agree,Yes,My data reside on a remotely accessible server/drive.,"I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program almost every day,I have experience programming in Python,I am familiar with the command line because I have used it.,I would create this list using a pipeline of command line functions.,I am familiar with version control because I have used it.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/12/19 13:01,,,Staff,American Medical Education Research Initiative,College of Education and the College of Medicine,Data Analytics for the College of Medicine and the College of Education. I mainly automate routine tasks (that can be automated) with R Studio,Make my daily tasks more efficient. Learn about Github and SQL,Windows,I agree,I agree,Yes,My data reside on my hard drive.,"I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python.",I program almost every day,"I have experience programming in Python, I have experience programming in R, I have experience programming in Matlab",I am familiar with the command line because I have used it.,I could complete the task with documentation or search engine help.,I am familiar only with the term.,I could complete the task with documentation or search help.,I am familiar with Jupyter Notebook because I have used or am using it.,I could complete the task with little or no documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes)"
2/6/19 12:22,,,Graduate Student,The University of Arizona,Systems and Industrial Engineering,Dynamic data driven frameworks. Sensor fusions. Data analytics.,Get some hands on experience on data analytics using python,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data using Matlab, R and/or Python.",I program almost every day,"I have experience programming in R, I have experience programming in Java",I am not familiar with the command line.,I would write a java program,I am not familiar with version control.,I could complete the task with documentation or search help.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/8/19 18:29,,,Staff,college of public health,college of public health,Research Specialist,Routine data mining jobs,Linux,I agree,I agree,No,"My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox, My data reside in research data cloud storage such as the CyVerse Data Store, Open Science Cloud (OSC), Data-Intensive Academic Grid (DIAG)","I am analyzing my data using Matlab, R and/or Python.",I program almost every day,"I have experience programming in R, I have experience programming in Java",I am familiar with the command line because I am using it.,I would create this list using a pipeline of command line functions.,I am not familiar with version control.,I could not complete this task.,I am familiar with the only term(s).,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using virtual machines (to speed up analyses, among other purposes), Using Docker (to make analyses reproducible, among other purposes)"
2/7/19 11:53,,,Graduate Student,University of Arizona,Optical Sciences,Lidar Scanning,Basic Python Proframming,Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes.","I am analyzing my data with an office software, like Excel",I program almost every day,I write programs that are a page or two long for my own use.,I am familiar with the command line because I have used it.,"I would create this list using ""Find in Files"" and ""copy and paste"".",I am familiar with version control but have never used it.,I could complete the task with documentation or search help.,I am not familiar with either.,I could complete the task with documentation or search engine help.,"Using a centralized data store (to store, access and/or share your data from anywhere)"
2/13/19 16:31,,,Graduate Student,University of Arizona,Physics,"I work in high energy particle physics. I am currently involved with the ATLAS collaboration, using the large hadron collider in CERN.",I hope that the workshop will teach me useful skills for my research.,Mac,I agree,I agree,No,My data reside on a remotely accessible server/drive.,"I am analyzing my data using Matlab, R and/or Python., I use other computational tools to do my analysis",I program almost every day,"I write programs that are a page or two long for my own use., I have experience programming in Python, I have experience programming in Matlab",I am familiar with the command line because I have used it.,I could complete the task with documentation or search engine help.,I am familiar with version control but have never used it.,I could complete the task with documentation or search help.,I am familiar with Python because I have used or am using it.,I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/6/19 13:25,,,"Staff, Undergraduate Student, Undergraduate Reseacher","BIO5 Institute, David Enard Lab",Ecology and Evolutionary Biology,"I currently use python to calculate adaptation rates among primate homologs primarily through implementation of the McDonald-Kreitman Test. I also use python to categorize amino acid substitutions in homologs as either change in stability, change in hydrophobicity etc. My research question is how do adaptation rates vary between Viral Interacting Proteins (noted VIPs) and non VIPs","I am hoping to gain fluency in python in the coming months, and the workshop will introduce me to concepts I have yet to encounter, and will reinforce the concepts I am already familiar with. The networking is also an important aspect of the workshop, as I am a member of the UA community and value a community based approach to science.",Windows,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on a thumb drive., My data reside on my hard drive.","I am analyzing my data by looking at them and thinking about them, I am analyzing my data using Matlab, R and/or Python., I use other computational tools to do my analysis, I am building my own computational tools to analyze my data.",I program almost every day,"I write programs that are a page or two long for my own use., I have experience programming in Python, I have experience programming in R",I am familiar with the command line because I have used it.,"Using Python, i'd search for the string ""Drosophila"" while the file is open. If the file contains my target, I will add my file to results.txt (or whatever other format if you want full article or just titles etc.)",I am not familiar with version control.,I could not complete this task.,"I am familiar with Jupyter Notebook because I have used or am using it., I'm a fan of jupyter notebook because of its integration with anaconda but prefer pycharm. Either way, I am familiar with it",I could do this in python or R. Python out of preference even though R is probably easier,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/5/19 17:24,,,Graduate Student,The College of Optical Sciences and the Richard F. Carris Mirror Lab,"Large Optics Fabrication and Testing Group, Optical Sciences","I work in the Mirror Lab improving testing methods in support of fabrication of the Giant Magellan Telescope Mirror segments. I also work with the Large Optics Fabrication and Testing Group on deflectometry and interferometry systems for optical testing, as well as general optical design problems.",I intend to utilize what I learn from this workshop to improve my research efficiency using the UNIX terminal and to practice better data organization and management. I also intend to be more effective at sharing my results with others using Github.,Mac,I agree,I agree,No,"My data reside in a lab notebook, drawers, filing cabinets and/or boxes., My data reside on my hard drive., My data reside in commercial cloud storage such as Amazon, Google Cloud, DropBox","I am analyzing my data with an office software, like Excel, I am analyzing my data using Matlab, R and/or Python., I use other computational tools to do my analysis",I program almost every day,"I write programs that are a page or two long for my own use., I write programs that are many pages long for my own use and for others to use., I have experience programming in Python, I have experience programming in Matlab",I am familiar with the command line because I have used it.,I could complete the task with documentation or search engine help.,I am familiar with version control but have never used it.,I could not complete this task.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could complete the task with little or no documentation or search engine help.,"Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes)"
2/5/19 19:24,,,Graduate Student,Collaborator with ATLAS Experiment,Physics,"I work with a team of researches, based at CERN in Geneva, who analyze data from the ATLAS Experiment. Our specific search focuses on finding specific particle signatures in the very large datasets that ATLAS produces. Much of my time is spent programing in C/C++, though we are migrating to a Python environment sometime in the next year or two.","Since much of my time is spent moving files between machines and writing search algorithms in C/C++/Python, I hope to learn shortcuts and time-saving techniques that I could apply to my day-to-day research work. Learning to program in an efficient manner is a skill I'd like to improve.","Windows 10 (host), Ubuntu 18 (VirtualBox)",I agree,I agree,No,"My data reside on my hard drive., My data reside on a remotely accessible server/drive.",I use other computational tools to do my analysis,I program almost every day,"I write scripts that are a few lines long to analyze data., I write programs that are a page or two long for my own use., I have experience programming in Python, I have experience programming in Java",I am familiar with the command line because I am using it.,I could complete the task with documentation or search engine help.,I am familiar with version control because I am using it.,I could complete the task with little or no documentation or search help.,"I am familiar with Python because I have used or am using it., I am familiar with Jupyter Notebook because I have used or am using it.",I could complete the task with documentation or search engine help.,"High Performance Computing using the UA HPC system, Using a centralized data store (to store, access and/or share your data from anywhere), Using virtual machines (to speed up analyses, among other purposes), Quality assurance (to ensure my code does what it is supposed to do), Metadata (to associate my data with data about them, such as how they were produced, experimental conditions, etc.), Using Docker (to make analyses reproducible, among other purposes), These all sound like incredibly useful skills. I've heard of almost all of these before, and even though I currently use VMs for my work (I'm filling out this application from one), I only know so much about how they work and their advantages. I would sign up for any of the above listed workshops."
